id,familyKey,familyName,name,familyNameAr,nameAr,DozenPrice,pcsPerCarton,cartonPrice,imageFile,imageExists,badge,badgeAr,enabled,varianttype,varianttypeAr,rowType,sortOrder,printed
118,Miro,,Miro Two-Tone Colors,,ميــرو 2 لون,24,240,5760,Miro Two-Tone Colors.jpg,FALSE,,,1,,,,,FALSE
family-Shams,Shams,Shams Fly,,فلايات شمس,,,,,,FALSE,,,1,,,parent,24,FALSE
119,Shams,,Shams Two-Tone Colors,,شمس 2 لون,25,144,3600,Shams Two-Tone Colors.jpg,TRUE,,,1,,,,,FALSE
120,Shams,,Shams Black,,شمس اسود,16,144,2304,Shams Black.jpg,TRUE,,,1,,,,,FALSE
121,Shams,,Shams Black Lux,,شمس اسود لوكس,20,144,2880,Shams Black Lux.jpg,TRUE,,,1,,,,,FALSE
122,Shams,,Shams Colors,,شمس الوان,20,144,2880,Shams Colors.jpg,FALSE,,,1,,,,,FALSE
123,Shams,,Shams Fluorescent Printed,,شمس فسفورى مطبوع,55,48,2640,Shams Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
125,Shams,,Shams Yellow Printed,,شمس اصفر مطبوع,55,48,2640,Shams Yellow Printed.jpg,TRUE,,,1,,,,,TRUE
126,Shams,,Shams Ivory Printed,,شمس سن فيل مطبوع,55,48,2640,Shams Ivory Printed.jpg,TRUE,,,1,,,,,TRUE
127,Shams,,Shams Glass Colors Printed,,شمس زجاج الوان مطبوع,65,48,3120,Shams Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
128,Shams,,Shams Glass Honey Printed,,شمس زجاج عسلى مطبوع,65,48,3120,Shams Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
family-Nogoom,Nogoom,Nogoom Fly,,فلايات نجوم,,,,,,FALSE,,,1,,,parent,25,FALSE
129,Nogoom,,Nogoom Lux,,نجوم لوكس,19,240,4560,Nogoom Lux.jpg,TRUE,,,1,,,,,FALSE
130,Nogoom,,Nogoom White,,نجوم ابيض,14,240,3360,Nogoom White.jpg,TRUE,,,1,,,,,FALSE
131,Nogoom,,Nogoom Colors,,نجوم الوان,14,240,3360,Nogoom Colors.jpg,TRUE,,,1,,,,,FALSE
132,Nogoom,,Nogoom Matte,,نجوم ناشف,20,240,4800,Nogoom Matte.jpg,TRUE,,,1,,,,,FALSE
family-Samar,Samar,Samar Fly,,فلايات سمر,,,,,,TRUE,,,1,,,parent,26,FALSE
133,Samar,,Samar Colors,,سمر الوان,14,240,3360,Samar Colors.jpg,TRUE,,,1,,,,,FALSE
134,Samar,,Samar Fluorescent,,سمر فسفورى,25,240,6000,Samar Fluorescent.jpg,FALSE,,,1,,,,,FALSE
135,Samar,,Samar Black,,سمر اسود,14,240,3360,Samar Black.jpg,FALSE,,,1,,,,,FALSE
136,Samar,,Samar Two-Tone Colors,,سمر 2 لون,22,240,5280,Samar Two-Tone Colors.jpg,TRUE,,,1,,,,,FALSE
family-Zeina,Zeina,Zeina Fly,,فلايات زينة,,,,,,TRUE,,,1,,,parent,27,FALSE
137,Zeina,,Zeina Black,,زينة اسود,20,144,2880,Zeina Black.jpg,TRUE,,,1,,,,,FALSE
138,Zeina,,Zeina Two-Tone Colors,,زينة 2 لون,25,144,3600,Zeina Two-Tone Colors.jpg,FALSE,,,1,,,,,FALSE
139,Zeina,,Zeina Glass Colors Printed,,زينة زجاج الوان مطبوع,65,48,3120,Zeina Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
140,Zeina,,Zeina Glass Honey Printed,,زينة زجاج عسلى مطبوع,65,48,3120,Zeina Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
141,Zeina,,Zeina Aag Printed,,زينة عاج مطبوع,55,48,2640,Zeina Aag Printed.jpg,TRUE,,,1,,,,,TRUE
family-Yasmina,Yasmina,Yasmina Combs,,أمشاط ياسمينا,,,,,,FALSE,,,1,,,parent,28,FALSE
142,Yasmina,,Yasmina Fluorescent Printed,,ياسمينا فسفورى مطبوع,60,40,2400,Yasmina Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
143,Yasmina,,Yasmina Black Printed,,ياسمينا اسود مطبوع,60,40,2400,Yasmina Black Printed.jpg,TRUE,,,1,,,,,TRUE
144,Yasmina,,Yasmina Blue Printed,,ياسمينا ازرق مطبوع,60,40,2400,Yasmina Blue Printed.jpg,TRUE,,,1,,,,,TRUE
family-King,king,King Combs,,أمشاط كينج,,,,,,FALSE,,,1,,,parent,29,FALSE
145,king,,Mesht king Fluorescent Printed,,كينج فسفورى مطبوع,110,40,4400,Mesht king Fluorescent Printed.jpg,FALSE,,,1,,,,,TRUE
146,king,,Mesht king Colors Printed,,كينج الوان مطبوع,60,40,2400,Mesht king Colors Printed.jpg,TRUE,,,1,,,,,TRUE
147,king,,Mesht king Glass Colors Printed,,كينج زجاج الوان مطبوع,160,40,6400,Mesht king Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
148,king,,Mesht king Glass Honey Printed,,كينج زجاج عسلى مطبوع,160,40,6400,Mesht king Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
family-Lady,Lady,Lady Combs,,أمشاط ليدي,,,,,,FALSE,,,1,,,parent,30,FALSE
149,Lady,,Lady Fluorescent Printed,,ليدى فسفورى مطبوع,60,40,2400,Lady Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
151,Lady,,Lady Colors,,ليدى الوان,35,60,2100,Lady Colors.jpg,TRUE,,,1,,,,,FALSE
family-Farasha,Farasha,Farasha,,فراشة,,,,,,FALSE,,,1,,,parent,31,FALSE
